n,,Latenza,values
10,9,100ms,0.9
20,12,100ms,0.6
30,18,100ms,0.6
40,32,100ms,0.8
50,37,100ms,0.74
60,53,100ms,0.883333333333333
70,59,100ms,0.842857142857143
80,49,100ms,0.6125
90,50,100ms,0.555555555555556
100,56,100ms,0.56
10,6,100ms,0.6
20,11,100ms,0.55
30,25,100ms,0.833333333333333
40,33,100ms,0.825
50,39,100ms,0.78
60,53,100ms,0.883333333333333
70,40,100ms,0.571428571428571
80,47,100ms,0.5875
90,51,100ms,0.566666666666667
100,57,100ms,0.57
10,9,100ms,0.9
20,11,100ms,0.55
30,21,100ms,0.7
40,32,100ms,0.8
50,39,100ms,0.78
60,47,100ms,0.783333333333333
70,58,100ms,0.828571428571429
80,57,100ms,0.7125
90,53,100ms,0.588888888888889
100,52,100ms,0.52
10,8,100ms,0.8
20,15,100ms,0.75
30,27,100ms,0.9
40,37,100ms,0.925
50,43,100ms,0.86
60,41,100ms,0.683333333333333
70,56,100ms,0.8
80,48,100ms,0.6
90,51,100ms,0.566666666666667
100,43,100ms,0.43
10,9,100ms,0.9
20,20,200ms,1
30,30,200ms,1
40,39,200ms,0.975
50,50,200ms,1
60,53,200ms,0.883333333333333
70,66,200ms,0.942857142857143
80,69,200ms,0.8625
90,66,200ms,0.733333333333333
100,83,200ms,0.83
10,10,200ms,1
20,20,200ms,1
30,30,200ms,1
40,39,200ms,0.975
50,48,200ms,0.96
60,59,200ms,0.983333333333333
70,64,200ms,0.914285714285714
80,72,200ms,0.9
90,68,200ms,0.755555555555556
100,80,200ms,0.8
10,10,200ms,1
20,20,200ms,1
30,29,200ms,0.966666666666667
40,40,200ms,1
50,46,200ms,0.92
60,54,200ms,0.9
70,60,200ms,0.857142857142857
80,66,200ms,0.825
90,68,200ms,0.755555555555556
100,87,200ms,0.87
10,10,200ms,1
20,20,200ms,1
30,30,200ms,1
40,40,200ms,1
50,48,200ms,0.96
60,57,200ms,0.95
70,54,200ms,0.771428571428571
80,73,200ms,0.9125
90,71,200ms,0.788888888888889
100,77,200ms,0.77
10,10,40req-100ms,1
20,20,40req-100ms,1
30,30,40req-100ms,1
40,40,40req-100ms,1
50,49,40req-100ms,0.98
60,60,40req-100ms,1
70,69,40req-100ms,0.985714285714286
80,79,40req-100ms,0.9875
90,82,40req-100ms,0.911111111111111
100,98,40req-100ms,0.98
10,10,40req-100ms,1
20,20,40req-100ms,1
30,30,40req-100ms,1
40,40,40req-100ms,1
50,49,40req-100ms,0.98
60,60,40req-100ms,1
70,68,40req-100ms,0.971428571428571
80,79,40req-100ms,0.9875
90,89,40req-100ms,0.988888888888889
100,93,40req-100ms,0.93
10,10,40req-100ms,1
20,20,40req-100ms,1
30,30,40req-100ms,1
40,40,40req-100ms,1
50,50,40req-100ms,1
60,59,40req-100ms,0.983333333333333
70,70,40req-100ms,1
80,78,40req-100ms,0.975
90,88,40req-100ms,0.977777777777778
100,97,40req-100ms,0.97
10,8,40req-200ms,0.8
20,19,40req-200ms,0.95
30,30,40req-200ms,1
40,40,40req-200ms,1
50,50,40req-200ms,1
60,60,40req-200ms,1
70,70,40req-200ms,1
80,78,40req-200ms,0.975
90,88,40req-200ms,0.977777777777778
100,98,40req-200ms,0.98
10,6,40req-200ms,0.6
20,20,40req-200ms,1
30,30,40req-200ms,1
40,39,40req-200ms,0.975
50,50,40req-200ms,1
60,60,40req-200ms,1
70,69,40req-200ms,0.985714285714286
80,80,40req-200ms,1
90,89,40req-200ms,0.988888888888889
100,97,40req-200ms,0.97
10,6,40req-200ms,0.6
20,20,40req-200ms,1
30,30,40req-200ms,1
40,38,40req-200ms,0.95
50,50,40req-200ms,1
60,59,40req-200ms,0.983333333333333
70,66,40req-200ms,0.942857142857143
80,76,40req-200ms,0.95
90,88,40req-200ms,0.977777777777778
100,95,40req-200ms,0.95
