n,,Pause,values
100,91,lunghe,0.91
10,8,lunghe,0.8
20,17,lunghe,0.85
30,27,lunghe,0.9
40,35,lunghe,0.875
50,45,lunghe,0.9
60,54,lunghe,0.9
70,64,lunghe,0.914285714285714
80,72,lunghe,0.9
90,82,lunghe,0.911111111111111
100,91,lunghe,0.91
10,10,lunghe,1
20,20,lunghe,1
30,28,lunghe,0.933333333333333
40,38,lunghe,0.95
50,46,lunghe,0.92
60,56,lunghe,0.933333333333333
70,66,lunghe,0.942857142857143
80,74,lunghe,0.925
90,83,lunghe,0.922222222222222
100,93,lunghe,0.93
10,10,lunghe,1
20,20,lunghe,1
30,27,lunghe,0.9
40,37,lunghe,0.925
50,46,lunghe,0.92
60,55,lunghe,0.916666666666667
70,65,lunghe,0.928571428571429
80,72,lunghe,0.9
90,82,lunghe,0.911111111111111
100,92,lunghe,0.92
10,9,lunghe,0.9
20,19,lunghe,0.95
30,28,lunghe,0.933333333333333
40,38,lunghe,0.95
50,47,lunghe,0.94
60,55,lunghe,0.916666666666667
70,64,lunghe,0.914285714285714
80,73,lunghe,0.9125
90,82,lunghe,0.911111111111111
100,92,lunghe,0.92
10,10,corte,1
20,19,corte,0.95
30,29,corte,0.966666666666667
40,38,corte,0.95
50,48,corte,0.96
60,57,corte,0.95
70,65,corte,0.928571428571429
80,75,corte,0.9375
90,84,corte,0.933333333333333
100,91,corte,0.91
10,9,corte,0.9
20,19,corte,0.95
30,28,corte,0.933333333333333
40,38,corte,0.95
50,47,corte,0.94
60,57,corte,0.95
70,67,corte,0.957142857142857
80,77,corte,0.9625
90,86,corte,0.955555555555556
100,94,corte,0.94
10,9,corte,0.9
20,19,corte,0.95
30,28,corte,0.933333333333333
40,35,corte,0.875
50,45,corte,0.9
60,55,corte,0.916666666666667
70,65,corte,0.928571428571429
80,72,corte,0.9
90,82,corte,0.911111111111111
100,92,corte,0.92
10,9,corte,0.9
20,19,corte,0.95
30,28,corte,0.933333333333333
40,38,corte,0.95
50,46,corte,0.92
60,56,corte,0.933333333333333
70,63,corte,0.9
80,72,corte,0.9
90,80,corte,0.888888888888889
100,89,corte,0.89
10,9,medie,0.9
20,19,medie,0.95
30,28,medie,0.933333333333333
40,38,medie,0.95
50,47,medie,0.94
60,57,medie,0.95
70,67,medie,0.957142857142857
80,76,medie,0.95
90,85,medie,0.944444444444444
100,95,medie,0.95
10,10,medie,1
20,19,medie,0.95
30,28,medie,0.933333333333333
40,37,medie,0.925
50,46,medie,0.92
60,56,medie,0.933333333333333
70,66,medie,0.942857142857143
80,76,medie,0.95
90,85,medie,0.944444444444444
100,94,medie,0.94
10,9,medie,0.9
20,16,medie,0.8
30,25,medie,0.833333333333333
40,34,medie,0.85
50,44,medie,0.88
60,54,medie,0.9
70,64,medie,0.914285714285714
80,73,medie,0.9125
90,83,medie,0.922222222222222
100,91,medie,0.91
10,8,medie,0.8
20,16,medie,0.8
30,25,medie,0.833333333333333
40,34,medie,0.85
50,42,medie,0.84
60,50,medie,0.833333333333333
70,59,medie,0.842857142857143
80,69,medie,0.8625
90,78,medie,0.866666666666667
100,88,medie,0.88
